date,feature_index,CO
2026-03-12T00:00:00.000Z,0,0.029119073878973722
2026-03-10T00:00:00.000Z,0,0.028654134832322598
2026-03-13T00:00:00.000Z,0,0.025463080033659935
2026-03-15T00:00:00.000Z,0,0.030364252626895905
2026-03-11T00:00:00.000Z,0,0.021550984121859074
2026-03-14T00:00:00.000Z,0,0.03044056100770831
2025-09-30T00:00:00.000Z,0,
2025-10-01T00:00:00.000Z,0,
2025-10-02T00:00:00.000Z,0,0.025906914845108986
2025-10-06T00:00:00.000Z,0,0.025338072795420885
2025-10-04T00:00:00.000Z,0,0.033199323962132134
2025-10-03T00:00:00.000Z,0,0.03566518425941467
2025-10-05T00:00:00.000Z,0,0.031524643301963806
2025-09-29T00:00:00.000Z,0,0.03143493893245856
2026-05-02T00:00:00.000Z,0,
2026-04-26T00:00:00.000Z,0,0.017485754564404488
2026-04-25T00:00:00.000Z,0,0.02688712254166603
2026-05-01T00:00:00.000Z,0,0.02133103460073471
2026-04-27T00:00:00.000Z,0,
2026-04-29T00:00:00.000Z,0,
2026-04-30T00:00:00.000Z,0,
2026-04-28T00:00:00.000Z,0,0.022007565945386887
2026-07-21T00:00:00.000Z,0,0.03221962135285139
2026-07-15T00:00:00.000Z,0,0.02298594079911709
2026-07-20T00:00:00.000Z,0,0.03396475315093994
2026-07-17T00:00:00.000Z,0,
2026-07-16T00:00:00.000Z,0,
2026-07-14T00:00:00.000Z,0,0.026890313252806664
2026-07-19T00:00:00.000Z,0,0.035819392651319504
2026-07-18T00:00:00.000Z,0,0.03062382247298956
2025-11-30T00:00:00.000Z,0,
2025-11-26T00:00:00.000Z,0,
2025-11-25T00:00:00.000Z,0,0.029785145074129105
2025-11-28T00:00:00.000Z,0,0.028943237848579884
2025-11-29T00:00:00.000Z,0,0.03058980219066143
2025-12-01T00:00:00.000Z,0,
2025-11-27T00:00:00.000Z,0,
2025-11-24T00:00:00.000Z,0,
2026-01-03T00:00:00.000Z,0,0.026519634760916233
2026-01-04T00:00:00.000Z,0,
2026-01-06T00:00:00.000Z,0,
2026-01-10T00:00:00.000Z,0,
2026-01-07T00:00:00.000Z,0,
2026-01-08T00:00:00.000Z,0,
2026-01-05T00:00:00.000Z,0,
2026-01-09T00:00:00.000Z,0,
2026-03-26T00:00:00.000Z,0,0.026685847590367
2026-03-30T00:00:00.000Z,0,0.02806408889591694
2026-03-24T00:00:00.000Z,0,
2026-03-31T00:00:00.000Z,0,
2026-03-28T00:00:00.000Z,0,
2026-03-27T00:00:00.000Z,0,0.027746269945055246
2026-03-25T00:00:00.000Z,0,0.02582353229324023
2026-03-29T00:00:00.000Z,0,0.030386297032237053
2026-06-22T00:00:00.000Z,0,0.02961558848619461
2026-06-26T00:00:00.000Z,0,
2026-06-20T00:00:00.000Z,0,
2026-06-21T00:00:00.000Z,0,
2026-06-27T00:00:00.000Z,0,
2026-06-23T00:00:00.000Z,0,0.03268217978378137
2026-06-24T00:00:00.000Z,0,0.029884807765483856
2026-06-25T00:00:00.000Z,0,0.03129977732896805
2026-07-28T00:00:00.000Z,0,
2026-07-24T00:00:00.000Z,0,0.03196960547938943
2026-07-25T00:00:00.000Z,0,0.02847274113446474
2026-07-26T00:00:00.000Z,0,0.02821884211152792
2026-07-22T00:00:00.000Z,0,
2026-07-29T00:00:00.000Z,0,0.03830816224217415
2026-07-23T00:00:00.000Z,0,0.03553067147731781
2026-07-27T00:00:00.000Z,0,
2026-08-10T00:00:00.000Z,0,0.038845453411340714
2026-08-07T00:00:00.000Z,0,
2026-08-09T00:00:00.000Z,0,0.029453756287693977
2026-08-08T00:00:00.000Z,0,
2026-08-13T00:00:00.000Z,0,0.02757120132446289
2026-08-12T00:00:00.000Z,0,0.031791478395462036
2026-08-11T00:00:00.000Z,0,0.042850444093346596
2026-08-14T00:00:00.000Z,0,0.04285635054111481
2025-09-03T00:00:00.000Z,0,0.023711192421615124
2025-09-04T00:00:00.000Z,0,
2025-09-02T00:00:00.000Z,0,0.02461379145582517
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,
2025-09-01T00:00:00.000Z,0,0.02839433029294014
2025-10-11T00:00:00.000Z,0,
2025-10-12T00:00:00.000Z,0,0.026993852108716965
2025-10-14T00:00:00.000Z,0,0.02695016749203205
2025-10-09T00:00:00.000Z,0,0.04328349977731705
2025-10-13T00:00:00.000Z,0,0.025702165439724922
2025-10-10T00:00:00.000Z,0,0.03414370616277059
2025-10-07T00:00:00.000Z,0,
2025-10-08T00:00:00.000Z,0,
2025-11-10T00:00:00.000Z,0,
2025-11-14T00:00:00.000Z,0,
2025-11-12T00:00:00.000Z,0,
2025-11-08T00:00:00.000Z,0,
2025-11-09T00:00:00.000Z,0,
2025-11-13T00:00:00.000Z,0,
2025-11-11T00:00:00.000Z,0,
2025-11-15T00:00:00.000Z,0,
2025-12-19T00:00:00.000Z,0,0.02879186160862446
2025-12-23T00:00:00.000Z,0,0.027173660695552826
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,0.02790781296789646
2025-12-21T00:00:00.000Z,0,
2025-12-24T00:00:00.000Z,0,
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,
