date,feature_index,SO2
2025-12-07T00:00:00.000Z,0,-5.657428118865937E-5
2025-09-25T00:00:00.000Z,0,4.551270694719278E-5
2025-09-27T00:00:00.000Z,0,-5.450199714687187E-4
2025-09-23T00:00:00.000Z,0,-3.192213898728369E-5
2025-09-24T00:00:00.000Z,0,2.543874361435883E-4
2025-09-21T00:00:00.000Z,0,-6.343791937979404E-6
2025-09-22T00:00:00.000Z,0,3.8462705560959876E-4
2025-09-28T00:00:00.000Z,0,-4.9421190851717256E-5
2025-09-26T00:00:00.000Z,0,-1.0961243242491037E-4
2026-01-23T00:00:00.000Z,0,
2026-01-25T00:00:00.000Z,0,1.2089132117883613E-5
2026-01-19T00:00:00.000Z,0,
2026-01-21T00:00:00.000Z,0,-2.2570192413695622E-5
2026-01-22T00:00:00.000Z,0,
2026-01-26T00:00:00.000Z,0,5.5130586588347796E-5
2026-01-20T00:00:00.000Z,0,-2.1384011536914233E-5
2026-01-24T00:00:00.000Z,0,
2026-03-03T00:00:00.000Z,0,1.0157618817174807E-4
2026-03-05T00:00:00.000Z,0,-4.446446291694883E-5
2026-03-06T00:00:00.000Z,0,
2026-03-02T00:00:00.000Z,0,
2026-03-01T00:00:00.000Z,0,
2026-03-04T00:00:00.000Z,0,9.735414641909301E-5
2026-02-28T00:00:00.000Z,0,
2026-03-07T00:00:00.000Z,0,
2026-05-08T00:00:00.000Z,0,3.823227307293564E-4
2026-05-06T00:00:00.000Z,0,2.4212291464209557E-4
2026-05-10T00:00:00.000Z,0,4.0275955325341783E-4
2026-05-03T00:00:00.000Z,0,2.6833120682567824E-4
2026-05-07T00:00:00.000Z,0,1.123502749464933E-4
2026-05-09T00:00:00.000Z,0,8.773286535870284E-4
2026-05-04T00:00:00.000Z,0,1.292321546770836E-4
2026-05-05T00:00:00.000Z,0,
2026-06-06T00:00:00.000Z,0,-6.810566901549464E-5
2026-06-11T00:00:00.000Z,0,-1.1331964560667984E-4
2026-06-05T00:00:00.000Z,0,4.4563363189809024E-5
2026-06-07T00:00:00.000Z,0,-1.0067340190289542E-4
2026-06-10T00:00:00.000Z,0,6.992157286731526E-4
2026-06-09T00:00:00.000Z,0,1.3265435700304806E-4
2026-06-08T00:00:00.000Z,0,3.7927682569716126E-4
2026-06-04T00:00:00.000Z,0,2.1310592910595005E-4
2026-02-04T00:00:00.000Z,0,
2026-02-05T00:00:00.000Z,0,2.1496869521797635E-4
2026-02-11T00:00:00.000Z,0,
2026-02-06T00:00:00.000Z,0,2.65163580479566E-5
2026-02-09T00:00:00.000Z,0,
2026-02-07T00:00:00.000Z,0,
2026-02-08T00:00:00.000Z,0,
2026-02-10T00:00:00.000Z,0,
2026-07-02T00:00:00.000Z,0,4.878995205217507E-4
2026-07-04T00:00:00.000Z,0,1.6969750868156552E-4
2026-07-03T00:00:00.000Z,0,8.455387142021209E-4
2026-07-01T00:00:00.000Z,0,6.426780710171442E-4
2026-06-29T00:00:00.000Z,0,5.790090654045343E-4
2026-06-30T00:00:00.000Z,0,2.170862935599871E-4
2026-07-05T00:00:00.000Z,0,4.60072935311473E-4
2026-06-28T00:00:00.000Z,0,0.0013044180668657646
2025-09-03T00:00:00.000Z,0,3.905420562659856E-4
2025-09-04T00:00:00.000Z,0,9.852928269538097E-5
2025-09-02T00:00:00.000Z,0,-1.8455310782883316E-4
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,-2.915733930421993E-4
2025-09-01T00:00:00.000Z,0,2.99103201541584E-4
2025-10-27T00:00:00.000Z,0,
2025-10-23T00:00:00.000Z,0,2.5929107550837216E-5
2025-10-29T00:00:00.000Z,0,
2025-10-26T00:00:00.000Z,0,-1.1331172771633646E-4
2025-10-28T00:00:00.000Z,0,-1.6746239049325595E-4
2025-10-30T00:00:00.000Z,0,-2.595460828160867E-4
2025-10-25T00:00:00.000Z,0,2.0838721729887766E-4
2025-10-24T00:00:00.000Z,0,
2026-02-03T00:00:00.000Z,0,
2026-02-01T00:00:00.000Z,0,
2026-01-31T00:00:00.000Z,0,1.4426193683902966E-4
2026-01-28T00:00:00.000Z,0,
2026-01-29T00:00:00.000Z,0,1.0071733777294867E-4
