date,feature_index,NO2
2025-12-21T00:00:00.000Z,0,
2025-12-24T00:00:00.000Z,0,
2025-12-20T00:00:00.000Z,0,
2025-12-22T00:00:00.000Z,0,
2026-06-22T00:00:00.000Z,0,1.9077229012509633E-5
2026-06-26T00:00:00.000Z,0,4.2818025349333766E-5
2026-06-20T00:00:00.000Z,0,2.2962836737860925E-5
2026-06-21T00:00:00.000Z,0,2.5690421807667008E-5
2026-06-27T00:00:00.000Z,0,2.6779594918480143E-5
2026-06-23T00:00:00.000Z,0,
2026-06-24T00:00:00.000Z,0,2.9449250405377825E-5
2026-06-25T00:00:00.000Z,0,2.471442348905839E-5
2025-09-03T00:00:00.000Z,0,1.6283298009511782E-5
2025-09-04T00:00:00.000Z,0,1.6437873796348867E-5
2025-09-02T00:00:00.000Z,0,-1.2930792081533582E-7
2025-08-30T00:00:00.000Z,0,
2025-08-31T00:00:00.000Z,0,1.1548314489573386E-5
2025-09-01T00:00:00.000Z,0,1.9894646356988233E-5
2025-11-20T00:00:00.000Z,0,
2025-11-19T00:00:00.000Z,0,
2025-11-17T00:00:00.000Z,0,
2025-11-22T00:00:00.000Z,0,
2025-11-23T00:00:00.000Z,0,
2025-11-18T00:00:00.000Z,0,4.061223262397107E-5
2025-11-21T00:00:00.000Z,0,
2025-11-16T00:00:00.000Z,0,
2025-09-25T00:00:00.000Z,0,1.4188745495857802E-5
2025-09-27T00:00:00.000Z,0,3.1462349397770595E-5
2025-09-23T00:00:00.000Z,0,4.054716737300623E-5
2025-09-24T00:00:00.000Z,0,3.4155794310208876E-5
2025-09-21T00:00:00.000Z,0,2.6572310616757022E-5
2025-09-22T00:00:00.000Z,0,2.633495842019329E-5
2025-09-28T00:00:00.000Z,0,9.013388904577369E-6
2025-09-26T00:00:00.000Z,0,2.1075581116747344E-5
2026-01-17T00:00:00.000Z,0,
2026-01-15T00:00:00.000Z,0,
2026-01-11T00:00:00.000Z,0,
2026-01-14T00:00:00.000Z,0,3.488983869222769E-5
2026-01-13T00:00:00.000Z,0,
2026-01-16T00:00:00.000Z,0,
2026-01-18T00:00:00.000Z,0,
2026-01-12T00:00:00.000Z,0,
